Business Name,UBI#,Business Type,Principal Office Address,Registered Agent Name,Status,Nonprofit EIN
A1 HONEST PLUMBING LLC,606 073 678,WA LIMITED LIABILITY COMPANY,"3201 BENTON PL SW, SEATTLE, WA, 98116, UNITED STATES","NORTHWEST REGISTERED AGENT, LLC",Active,
ABOVE PLUMBING LLC,606 032 201,WA LIMITED LIABILITY COMPANY,"15716 92ND CT SE, YELM, WA, 98597-8601, UNITED STATES",TYLER WOODCOCK,Active,
"AGENT PLUMBING, INC.",603 029 550,FOREIGN PROFIT CORPORATION,"20680 SW LEBEAU RD, SHERWOOD, OR, 97140-8719, UNITED STATES",REGISTERED AGENTS INC.,Active,
"AL'S PLUMBING, INC. DBA AL'S PLUMBING WA INC",601 540 888,FOREIGN PROFIT CORPORATION,"446 NE PINE ST, SUBLIMITY, OR, 97385, UNITED STATES","WASHINGTON REGISTERED AGENT, LLC.",Active,
ALPHA RESTORATION AND PLUMBING LLC,606 097 223,WA LIMITED LIABILITY COMPANY,"14128 82ND PL NE, KIRKLAND, WA, 98034, UNITED STATES",MARIAM KREVSKAIA,Active,
"APEX PLUMBING, LLC",606 067 679,WA LIMITED LIABILITY COMPANY,"17620 SE 269TH PL, COVINGTON, WA, 98042, UNITED STATES",ALEKSANDR ROSSIYTSEV,Active,
B & G EXCAVATION & PLUMBING LLC,604 839 582,FOREIGN LIMITED LIABILITY COMPANY,"17835 SE FOSTER RD, DAMASCUS, OR, 97089, UNITED STATES",REGISTERED AGENTS INC.,Active,
"B & W PLUMBING, LLC",606 035 910,WA LIMITED LIABILITY COMPANY,"1412 CLARENCE AVE, WALLA WALLA, WA, 99362-7246, UNITED STATES",NICHOLAS CROGHAN,Active,
B&T PLUMBING & MECHANICAL LLC,606 148 004,WA LIMITED LIABILITY COMPANY,"86407 E. BADGER RD., KENNEWICK, WA, 99338, UNITED STATES",BARBARA BRIDGES,Active,
"BAUMGARTNER PLUMBING, LLC",606 045 609,WA LIMITED LIABILITY COMPANY,"3605 MATHEWS DR NW, BREMERTON, WA, 98312-1961, UNITED STATES",GARRY BAUMGARTNER,Active,
BEAVER'S PLUMBING INC.,606 117 636,WA PROFIT CORPORATION,,VITALIY SMYGOV,Active,
BECHTOLD'S PLUMBING LLC,606 109 366,WA LIMITED LIABILITY COMPANY,"111 ROBINSON RD, SUMNER, WA, 98390, UNITED STATES",AUSTIN BECHTOLD,Active,
BEE PLUMBING LLC,606 041 045,FOREIGN LIMITED LIABILITY COMPANY,"3526 16TH ST, LEWISTON, ID, 83501, UNITED STATES",BAILEY EVENSON,Active,
BIG FOUR PLUMBING LLC,606 079 112,WA LIMITED LIABILITY COMPANY,"23100 135TH ST NE, GRANITE FALLS, WA, 98252, UNITED STATES",BRADLEY BERES,Active,
"BIG JOHN'S PLUMBING AND DRAIN, LLC",606 046 909,WA LIMITED LIABILITY COMPANY,"20825 SE 232ND ST, MAPLE VALLEY, WA, 98038, UNITED STATES","PROWANT LAW GROUP, PLLC",Active,
"BRACKETT PLUMBING, INC.",606 030 721,FOREIGN PROFIT CORPORATION,"1355 LAKESHORE DR, SAGLE, ID, 83860-9792, UNITED STATES",MARCUS MATHEWS,Active,
BRIDGE & BAY PLUMBING LLC,606 170 277,WA LIMITED LIABILITY COMPANY,"5543 BAY RIDGE DR, BLAINE, WA, 98230, UNITED STATES",FREEMAN BENTHIN,Active,
"BURFITT PLUMBING, INC.",602 148 773,FOREIGN PROFIT CORPORATION,"4505 NE ALBERTA ST, PORTLAND, OR, 97218-1523, UNITED STATES",EDITH HAYDEN,Active,
CHAPLIN'S PLUMBING L.L.C.,606 126 727,WA LIMITED LIABILITY COMPANY,"44720 FIR RD, GOLD BAR, WA, 98251, UNITED STATES",KYLE CHAPLIN,Active,
"CORNEL'S PLUMBING, INC.",606 033 659,FOREIGN PROFIT CORPORATION,"9407 NE VANCOUVER MALL DR STE 104 # 5687, VANCOUVER, WA, 98662-6191, UNITED STATES",REPUBLIC REGISTERED AGENT LLC,Active,
DTR PLUMBING LLC,606 170 546,WA LIMITED LIABILITY COMPANY,"1021 SHERIDAN RD, BREMERTON, WA, 98310, UNITED STATES",BENJAMIN COLSON,Active,
"E&B PLUMBING PROS, LLC",606 060 025,WA LIMITED LIABILITY COMPANY,"12011 71ST AVE S, SEATTLE, WA, 98178-4123, UNITED STATES",E & B PLUMBING PROS,Active,
